  R-R c2:c2-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a4:p1_a4-eth7  Δtx=0 B  Δrx=0 B
  R-R c3:c3-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a5:p1_a5-eth4  Δtx=0 B  Δrx=0 B
  R-R c4:c4-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a5:p1_a5-eth5  Δtx=3146637 B  Δrx=3112319 B
  R-R c5:c5-eth1  Δtx=3112319 B  Δrx=3146637 B
  R-R p1_a5:p1_a5-eth6  Δtx=0 B  Δrx=0 B
  R-R c6:c6-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a5:p1_a5-eth7  Δtx=0 B  Δrx=0 B
  R-R c7:c7-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a6:p1_a6-eth4  Δtx=0 B  Δrx=0 B
  R-R c8:c8-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a6:p1_a6-eth5  Δtx=0 B  Δrx=0 B
  R-R c9:c9-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a6:p1_a6-eth6  Δtx=8293694 B  Δrx=5211367 B
  R-R c10:c10-eth1  Δtx=5211367 B  Δrx=8293694 B
  R-R p1_a6:p1_a6-eth7  Δtx=0 B  Δrx=0 B
  R-R c11:c11-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a7:p1_a7-eth4  Δtx=0 B  Δrx=0 B
  R-R c12:c12-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a7:p1_a7-eth5  Δtx=0 B  Δrx=0 B
  R-R c13:c13-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a7:p1_a7-eth6  Δtx=0 B  Δrx=0 B
  R-R c14:c14-eth1  Δtx=0 B  Δrx=0 B
  R-R p1_a7:p1_a7-eth7  Δtx=3132349 B  Δrx=5176917 B
  R-R c15:c15-eth1  Δtx=5176917 B  Δrx=3132349 B
  R-R p2_a4:p2_a4-eth4  Δtx=5215153 B  Δrx=2083626 B
  R-R c0:c0-eth2  Δtx=2083626 B  Δrx=5215153 B
  R-R p2_a4:p2_a4-eth5  Δtx=0 B  Δrx=0 B
  R-R c1:c1-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a4:p2_a4-eth6  Δtx=0 B  Δrx=0 B
  R-R c2:c2-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a4:p2_a4-eth7  Δtx=0 B  Δrx=0 B
  R-R c3:c3-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a5:p2_a5-eth4  Δtx=0 B  Δrx=0 B
  R-R c4:c4-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a5:p2_a5-eth5  Δtx=4142958 B  Δrx=3160463 B
  R-R c5:c5-eth2  Δtx=3160463 B  Δrx=4142958 B
  R-R p2_a5:p2_a5-eth6  Δtx=0 B  Δrx=0 B
  R-R c6:c6-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a5:p2_a5-eth7  Δtx=0 B  Δrx=0 B
  R-R c7:c7-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a6:p2_a6-eth4  Δtx=0 B  Δrx=0 B
  R-R c8:c8-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a6:p2_a6-eth5  Δtx=0 B  Δrx=0 B
  R-R c9:c9-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a6:p2_a6-eth6  Δtx=3152029 B  Δrx=8274394 B
  R-R c10:c10-eth2  Δtx=8274394 B  Δrx=3152029 B
  R-R p2_a6:p2_a6-eth7  Δtx=0 B  Δrx=0 B
  R-R c11:c11-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a7:p2_a7-eth4  Δtx=0 B  Δrx=0 B
  R-R c12:c12-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a7:p2_a7-eth5  Δtx=0 B  Δrx=0 B
  R-R c13:c13-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a7:p2_a7-eth6  Δtx=0 B  Δrx=0 B
  R-R c14:c14-eth2  Δtx=0 B  Δrx=0 B
  R-R p2_a7:p2_a7-eth7  Δtx=4152180 B  Δrx=3142005 B
  R-R c15:c15-eth2  Δtx=3142005 B  Δrx=4152180 B
  R-R p3_a4:p3_a4-eth4  Δtx=6201678 B  Δrx=5172989 B
